Name,Latitude,Longitude,Theme,Sub Theme
Barbeque - Urban Design Single Hotplate,-37.7899872,144.9450234,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.78697855,144.9529576,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Warun Biik Park,-37.79622324,144.9266474,Leisure,BBQ
Barbeque - Barbeque (Docklands - not categorised),-37.82306496,144.9418028,Leisure,BBQ
Barbeque - Urban Design Single Hotplate - Fawkner Park,-37.84077622,144.9839388,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.78305874,144.9443604,Leisure,BBQ
Barbeque - Urban Design Single Hotplate - Hawke and Adderley Street Park,-37.80880342,144.9450258,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.82074203,144.962503,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Alexandra Park,-37.82462242,144.9779459,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Alexandra Park,-37.8245221,144.9778661,Leisure,BBQ
Barbeque - Docklands Barbeque - All Chromed - Boyd Community Hub,-37.82601058,144.9618638,Leisure,BBQ
Barbecue - Fawkner Park Toddler Play Space,-37.83921823,144.980724,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82753298,144.9819081,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Ron Barassi Senior Park,-37.81708154,144.9341924,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.82964804,144.964966,Leisure,BBQ
Barbeque - Unknown Barbeque Type,-37.81889052,144.942755,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Royal Park,-37.795511,144.9519166,Leisure,BBQ
Barbeque - Urban Design Double Hotplate Spanning Two Units - JJ Holland Park,-37.79781159,144.9260815,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.78291659,144.9436255,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Royal Park,-37.78545233,144.946188,Leisure,BBQ
Barbeque - Urban Design Single Hotplate - Southbank Boulevard (SOUTHBANK),-37.82345728,144.9661785,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.82009382,144.9751031,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.84238715,144.9819082,Leisure,BBQ
Barbeque - Urban Design Single Hotplate - Riverside Quay (SOUTHBANK),-37.82125086,144.9642137,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.8272701,144.9811924,Leisure,BBQ
Barbeque - Fawkner Park Toddler Play Space,-37.83916336,144.980667,Leisure,BBQ
Barbeque - Unknown model - JJ Holland Park,-37.79744246,144.9233707,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.8274468,144.9816752,Leisure,BBQ
Barbeque - Docklands Barbeque - All Chromed - Wharfs Landing Park,-37.82197016,144.9367124,Leisure,BBQ
Barbeque - Enterprize Park,-37.82023907,144.9599104,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.80955469,144.9549516,Leisure,BBQ
Barbeque - Urban Design Double Hotplate Spanning Two Units - Alexandra Park,-37.82426005,144.9776466,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.81982134,144.9748017,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.79375199,144.9240406,Leisure,BBQ
Barbeque - Urban Design Double Hotplate Spanning Two Units - Batman Park,-37.82175122,144.9572847,Leisure,BBQ
Barbeque - Barbeque (Docklands - not categorised),-37.81964344,144.9460734,Leisure,BBQ
Barbeque - All Abilities Double Hotplate - Royal Park,-37.79505799,144.9510416,Leisure,BBQ
Barbeque - Brick Single Hotplate,-37.79363713,144.9403181,Leisure,BBQ
Barbeque - Urban Design Double Hotplate Spanning Two Units - Gardiner Reserve,-37.79910273,144.9434773,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.82997401,144.96516,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82736307,144.981438,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.78200107,144.9566318,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82778303,144.982953,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.79794614,144.9214202,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82785043,144.983405,Leisure,BBQ
Barbeque - Barbeque (Docklands - not categorised),-37.82198673,144.9472706,Leisure,BBQ
Barbeque - Barbeque (Docklands - not categorised),-37.82086901,144.9465319,Leisure,BBQ
Barbeque - Barbeque (Docklands - not categorised),-37.8231028,144.941895,Leisure,BBQ
Barbeque - Docklands Barbeque - All Chromed - Docklands Community Gardens,-37.82054853,144.945322,Leisure,BBQ
Barbeque - Urban Design Single Hotplate - Southbank Boulevard (SOUTHBANK),-37.82337894,144.9662031,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.785039,144.9622264,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Powlett Reserve,-37.81122105,144.9866256,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82049353,144.9448712,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.79557202,144.9307855,Leisure,BBQ
Barbeque - Urban Design Double Hotplate Spanning Two Units - Alexandra Park,-37.82444423,144.9778024,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.78854743,144.9262295,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.77948642,144.9398602,Leisure,BBQ
Barbeque - Urban Design Double Hotplate - Alexandra Park,-37.82412642,144.9775265,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82768004,144.982417,Leisure,BBQ
Barbeque - Urban Design Double Hotplate,-37.82773338,144.9826847,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.78681162,144.9529508,Leisure,BBQ
Barbeque - Urban Design Single Hotplate,-37.78507621,144.962429,Leisure,BBQ
Barbeque - Urban Design Double Hotplate Spanning Two Units - Batman Park,-37.82177618,144.957238,Leisure,BBQ