"Daily Weather Observations for Melbourne, Victoria for April 2025"
"Prepared at 13:01 UTC on Monday  6 October 2025   IDCJDW3050.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,13.7,24.3,0,7.8,9.8,ESE,31,14:17,15.5,77,1,SE,11,1020.0,23.2,39,4,SE,13,1015.4
,2025-04-2,10.7,24.3,0,3.8,10.5,S,20,14:19,12.4,80,3,NNE,11,1012.3,23.3,45,3,SSW,9,1008.5
,2025-04-3,12.2,21.0,0,5.0,4.4,SSW,35,18:15,14.9,82,6,WSW,6,1012.2,19.9,65,5,SSW,15,1012.6
,2025-04-4,12.3,17.7,0.2,3.3,2.4,W,22,01:15,13.1,66,7,NNE,7,1018.5,17.1,52,7,SSW,6,1017.3
,2025-04-5,11.6,18.1,0.2,4.0,10.0,WSW,33,01:35,12.3,57,1,W,11,1020.6,17.2,39,1,S,9,1019.7
,2025-04-6,7.4,22.3,0,4.6,5.7,NNW,46,12:47,11.9,64,5,N,9,1018.1,21.0,37,7,WNW,13,1013.6
,2025-04-7,11.9,18.0,1.2,4.0,3.4,WSW,33,10:03,15.3,64,7,WSW,9,1021.5,16.9,62,7,S,11,1022.4
,2025-04-8,10.7,19.0,0,2.0,7.7,S,19,16:03,14.1,72,2,SW,4,1026.0,18.5,52,3,SW,7,1023.8
,2025-04-9,8.8,21.0,0,2.4,8.7,S,22,13:08,14.4,75,2,ENE,2,1023.5,20.4,53,7,SSW,9,1018.8
,2025-04-10,13.7,27.8,0,3.8,8.5,NNW,30,12:23,19.3,49,6,N,9,1020.0,27.0,31,1,NNW,11,1016.3
,2025-04-11,16.2,21.4,0,8.0,6.0,SSW,28,14:53,18.9,74,4,WSW,7,1024.9,20.2,65,1,SSW,17,1025.3
,2025-04-12,11.7,28.3,0,2.8,10.3,S,15,12:09,16.1,75,1,NNE,9,1029.0,25.6,50,1,SW,6,1025.5
,2025-04-13,16.0,31.8,0,8.8,8.9,NNW,43,13:45,24.9,37,2,N,15,1026.0,31.2,26,7,NW,13,1021.7
,2025-04-14,18.1,21.8,0,9.6,4.7,SSE,26,10:41,18.9,76,7,SE,11,1027.3,20.7,66,6,SW,11,1025.6
,2025-04-15,11.8,27.8,0,3.2,8.2,E,19,16:35,16.2,86,7,N,4,1026.5,27.4,40,2,E,6,1021.5
,2025-04-16,16.0,28.6,0,8.0,5.5,N,37,09:29,20.3,44,6,N,20,1021.5,27.3,33,5,N,9,1017.8
,2025-04-17,15.1,30.2,0,6.0,10.0,NNE,17,07:27,19.2,62,1,NNE,7,1016.9,29.0,36,3,SSW,7,1012.7
,2025-04-18,17.6,30.6,0.4,5.2,8.8,NNW,43,14:04,22.7,51,3,N,11,1011.4,30.2,29,3,NNW,22,1007.3
,2025-04-19,17.5,29.6,0,9.8,2.9,N,37,14:01,23.1,36,7,N,15,1008.5,28.4,24,7,N,17,1004.8
,2025-04-20,18.6,25.2,0,9.4,5.2,NNW,39,13:23,21.0,41,7,N,13,1007.4,23.6,42,5,N,22,1005.0
,2025-04-21,13.7,21.7,0,5.8,9.1,SSW,41,15:04,17.5,67,1,SSW,6,1015.1,19.7,70,7,SSW,17,1017.4
,2025-04-22,14.0,19.1,0.6,4.0,2.4,SSW,28,00:14,15.5,72,7,SSE,9,1026.7,18.4,68,7,SSW,11,1025.0
,2025-04-23,13.6,23.2,0,1.6,9.3,SSE,24,00:23,16.8,78,4,NNE,2,1025.8,22.4,55,3,SSW,9,1021.6
,2025-04-24,14.0,26.8,0,3.2,8.6,N,44,10:11,21.0,59,4,NNE,7,1020.3,26.4,39,1,N,22,1015.6
,2025-04-25,16.3,24.5,0,9.6,2.7,NW,33,11:39,20.7,65,7,NNE,9,1015.4,20.5,66,8,N,15,1014.0
,2025-04-26,15.6,20.1,5.4,1.8,0.0,SSW,28,14:55,16.6,100,7, ,Calm,1016.2,17.8,90,8,SSW,17,1015.1
,2025-04-27,15.8,17.5,0.2,2.4,0.1,SSW,24,14:55,16.1,77,8,SE,9,1018.3,17.1,65,7,SSW,15,1016.7
,2025-04-28,11.2,18.9,0,1.0,1.5,SSW,24,14:15,15.3,71,7, ,Calm,1019.1,17.4,70,7,S,11,1017.2
,2025-04-29,13.5,17.6,4.8,2.0,0.1,SSE,33,09:36,16.5,64,6,SSE,15,1022.1,16.1,78,7,SSW,11,1021.5
,2025-04-30,10.3,18.5,6.8,2.2,9.6,ESE,35,14:41,14.6,66,1,SE,7,1027.6,17.2,54,3,SE,17,1027.3