"Daily Weather Observations for Melbourne, Victoria for July 2025"
"Prepared at 13:01 UTC on Friday  3 October 2025   IDCJDW3050.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Olympic Park, but some from Melbourne Airport."
"On Tuesday 6 January 2015, the Melbourne (Latrobe Street) observation station  permanently closed."
"Temperature, humidity, wind, pressure and rainfall observations are from Melbourne (Olympic Park) {station 086338}"
"Cloud, evaporation and sunshine observations are from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (�C)","Maximum temperature (�C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (�C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (�C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,5.7,13.8,1.8,0.0,0.9,SSE,35,12:24,11.0,96,8,S,9,1025.7,13.5,68,7,S,13,1022.7
,2025-07-2,9.7,11.0,0.4,1.2,0.0,SSW,28,04:20,10.0,85,7,WSW,7,1019.2,10.6,100,7,S,7,1018.0
,2025-07-3,9.2,13.8,15.0,1.0,6.4,SSW,19,14:49,10.3,100,5,SW,6,1018.9,12.6,73,2,SSW,9,1017.2
,2025-07-4,4.3,16.1,0.2,0.6,6.9,N,33,15:29,6.4,100,0,NNE,9,1019.7,14.7,59,6,N,17,1017.1
,2025-07-5,6.0,17.9,0,2.2,9.2,N,44,14:33,8.4,100,2,ESE,6,1019.8,17.6,44,1,N,19,1016.0
,2025-07-6,7.5,16.9,0,3.4,2.8,SSW,15,11:57,10.4,93,3, ,Calm,1015.6,16.2,51,7,NE,6,1014.3
,2025-07-7,5.7,17.6,0,1.0,8.5,N,26,21:19,7.1,98,0,NNE,7,1018.5,17.5,55,1,ENE,4,1014.7
,2025-07-8,7.0,15.3,0,2.6,1.9,N,70,11:25,13.1,61,8,N,19,1003.2,13.3,64,7,N,22,997.8
,2025-07-9,6.9,12.4,0,2.4,5.2,N,54,22:20,8.2,75,1,N,13,1006.0,12.1,61,7,N,19,1001.8
,2025-07-10,8.2,12.1,2.0,1.4,4.4,WSW,39,16:29,9.2,82,7,NW,11,1000.8,11.1,68,7,W,13,1005.9
,2025-07-11,9.2,16.4,0.6,1.8,3.1,W,41,15:08,11.5,75,7,NNE,13,1016.1,13.7,81,7,SSW,7,1016.9
,2025-07-12,6.2,17.0,0.8,2.2,3.3,NW,26,12:41,8.6,79,7,NE,6,1025.6,16.2,52,7,NW,11,1023.6
,2025-07-13,8.6,15.5,0,2.4,0.7,NNW,50,15:03,11.5,68,7,N,22,1016.3,15.1,54,7,N,24,1007.1
,2025-07-14,8.3,14.4,3.0,2.0,5.7,,,,9.7,72,1,NW,9,1014.6,13.5,48,7,W,9,1011.8
,2025-07-15,8.7,13.7,0.4,2.6,3.0,N,28,01:03,9.5,72,7,NNW,11,1011.3,11.6,72,7,SW,6,1011.6
,2025-07-16,8.1,14.0,0,1.2,1.7,N,31,22:43,10.5,73,7,NNW,11,1017.1,12.9,70,7,N,11,1016.3
,2025-07-17,9.6,16.0,0,1.4,3.8,N,37,00:29,12.7,63,7,N,19,1015.5,12.6,69,7,SW,7,1016.2
,2025-07-18,4.8,16.1,0.4,1.4,8.9,NNW,22,13:33,6.4,86,6,NNE,7,1020.9,15.9,46,1,NNW,6,1017.9
,2025-07-19,6.4,14.2,0,3.4,4.7,N,54,09:49,8.5,66,7,N,19,1014.3,14.0,51,7,N,24,1012.9
,2025-07-20,5.1,15.6,0.6,1.6,8.1,NNW,26,14:17,6.9,78,7,NNE,7,1023.5,14.6,47,7,N,13,1021.3
,2025-07-21,4.6,17.0,0,1.6,5.5,NNE,46,14:57,7.3,81,7,NNE,9,1021.1,16.2,37,7,N,22,1014.9
,2025-07-22,7.3,16.0,0,4.0,2.4,N,52,10:39,15.8,60,7,N,22,1004.6,13.0,71,5,N,26,1000.8
,2025-07-23,7.2,12.9,4.4,,5.4,NW,37,11:26,9.2,64,,N,13,1012.5,12.4,51,8,WNW,11,1013.2
,2025-07-24,4.8,16.6,0,3.8,8.6,N,28,19:39,7.8,74,1,NNE,7,1021.6,16.5,45,6,ESE,7,1019.1
,2025-07-25,6.9,13.6,0,1.8,0.0,NNE,52,23:08,10.1,67,7,N,11,1018.2,11.5,52,7,NE,13,1012.4
,2025-07-26,9.6,13.6,0.4,1.2,0.0,NE,50,00:15,11.6,76,7,N,17,999.8,12.9,72,7,N,19,997.5
,2025-07-27,9.5,14.0,0.4,0.0,1.1,NNW,28,12:58,10.7,79,7,N,9,1000.0,13.3,71,7,NNW,9,998.4
,2025-07-28,10.7,15.7,5.8,1.8,4.9,SSW,39,15:02,12.0,77,7,NW,9,1006.6,13.5,67,6,SSW,19,1008.0
,2025-07-29,7.5,13.9,1.2,1.2,5.8,SSW,19,12:21,9.0,80,5,WNW,6,1016.5,13.0,60,5,SSW,11,1014.6
,2025-07-30,5.6,12.7,0.2,,6.5,SSW,22,15:19,9.6,100,, ,Calm,1019.0,12.3,68,7,SSW,13,1019.3
,2025-07-31,4.5,13.9,0,,5.2,SSW,28,15:18,9.2,100,, ,Calm,1027.0,13.2,68,4,SSW,13,1025.3
